epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3168,2.38294,3.11778,1.72739,0.01462,0.77027,0.08797,0.02243,2.56934,3.17109,1.58864,2e-05,2e-05,2e-05
2,17.2254,2.58114,3.28992,1.64425,0.01462,0.77027,0.07991,0.02094,2.54964,3.17854,1.58032,5.9406e-05,5.9406e-05,5.9406e-05
3,21.6048,2.47432,3.13464,1.68092,0.50761,0.72444,0.58708,0.21607,2.19998,1.98007,1.2864,9.802e-05,9.802e-05,9.802e-05
4,30.5352,1.95024,1.54684,1.27101,0.55258,0.71622,0.62553,0.27588,1.86436,1.51172,1.2315,0.000135842,0.000135842,0.000135842
5,40.799,1.47462,1.21971,1.30067,0.813,0.6463,0.72541,0.34116,1.86561,1.44022,1.26186,0.000172872,0.000172872,0.000172872
6,67.547,1.55904,1.22823,1.25914,0.77152,0.78378,0.83472,0.35474,1.92254,1.37858,1.33605,0.00020911,0.00020911,0.00020911
7,76.3016,1.66682,1.2096,1.25704,0.82125,0.80716,0.86818,0.34285,2.04069,1.307,1.5618,0.000244556,0.000244556,0.000244556
8,83.8154,1.63488,1.00372,1.26533,0.81568,0.81081,0.79839,0.37401,1.82294,1.19929,1.40001,0.00027921,0.00027921,0.00027921
9,96.1054,1.58266,1.02985,1.27409,0.72861,0.72973,0.77539,0.32437,1.96299,1.35141,1.46717,0.000313072,0.000313072,0.000313072
10,102.432,1.56833,1.11563,1.26533,0.63909,0.62162,0.64262,0.27754,2.04845,1.49431,1.52132,0.000346142,0.000346142,0.000346142
11,109.6,1.34759,1.02377,1.20232,0.7716,0.73046,0.74907,0.32282,2.01249,1.32178,1.56509,0.00037842,0.00037842,0.00037842
12,115.789,1.52833,1.03269,1.25209,0.69931,0.63514,0.673,0.30804,1.94458,1.43772,1.57455,0.000409906,0.000409906,0.000409906
13,122.341,1.45771,0.97882,1.24487,0.31332,0.68919,0.28788,0.13128,1.91939,2.34939,1.58825,0.0004406,0.0004406,0.0004406
14,128.46,1.42163,0.92247,1.27941,0.15508,0.68919,0.14252,0.0631,1.81259,5.98176,1.43863,0.000470502,0.000470502,0.000470502
15,134.13,1.59954,0.92335,1.32819,0.07865,0.56757,0.06316,0.02644,2.08511,11.2987,1.62778,0.000499612,0.000499612,0.000499612
16,139.725,1.51953,0.96049,1.36618,0.07269,0.59459,0.06506,0.02667,2.10767,12.6549,1.61265,0.00052793,0.00052793,0.00052793
17,144.53,1.44632,0.78303,1.18996,0.10046,0.78378,0.10378,0.04299,1.91458,9.49336,1.45902,0.000555456,0.000555456,0.000555456
18,148.836,1.50018,0.78464,1.18222,0.21407,0.68919,0.1842,0.07768,2.01679,3.18461,1.53782,0.00058219,0.00058219,0.00058219
19,153.17,1.44078,0.82415,1.15627,0.47422,0.54054,0.38752,0.15444,2.16411,1.9307,1.6823,0.000608132,0.000608132,0.000608132
20,157.242,1.57175,0.9688,1.25719,0.57905,0.75676,0.59712,0.25861,2.01286,1.47051,1.58998,0.000633282,0.000633282,0.000633282
21,161.754,1.66582,0.96267,1.22075,0.54252,0.65709,0.59103,0.27738,1.89972,1.36517,1.55257,0.00065764,0.00065764,0.00065764
22,165.74,1.58633,0.87731,1.16339,0.19514,0.45946,0.16244,0.07581,1.88656,2.44513,1.53425,0.000681206,0.000681206,0.000681206
23,169.948,1.56563,0.85304,1.1612,0.12792,0.44595,0.09218,0.04073,1.99481,5.42503,1.60227,0.00070398,0.00070398,0.00070398
24,174.392,1.44565,0.84662,1.10239,0.06307,0.45847,0.04333,0.01776,2.16661,9.83675,1.80816,0.000725962,0.000725962,0.000725962
25,178.658,1.70171,0.8863,1.28969,0.09085,0.32432,0.06674,0.03292,2.21754,5.68056,1.97955,0.000747152,0.000747152,0.000747152
26,183.368,1.52297,0.88511,1.26765,0.13043,0.08108,0.03816,0.02028,2.54776,6.10279,2.16156,0.00076755,0.00076755,0.00076755
27,188.033,1.53366,0.84198,1.19975,0.11535,0.12162,0.04724,0.02334,2.45065,4.78783,2.02101,0.000787156,0.000787156,0.000787156
28,192.884,1.39827,0.90432,1.28675,0.11535,0.12162,0.04724,0.02334,2.45065,4.78783,2.02101,0.00080597,0.00080597,0.00080597
29,197.033,1.49189,0.85318,1.1493,0.27675,0.10811,0.06913,0.03526,2.70942,7.29143,2.53339,0.000823992,0.000823992,0.000823992
30,202.191,1.44627,0.99368,1.25286,0.02463,0.09459,0.00661,0.00221,3.07372,16.7924,2.91722,0.000841222,0.000841222,0.000841222
